,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-07-05,201.83,203.35,200.59,202.81,202.81,884617.0,0.0,CME
1,2019-07-03,200.0,201.7,199.2,201.67,201.67,865103.0,0.0,CME
2,2019-07-02,196.3,200.36,195.36,199.77,199.77,1031546.0,0.0,CME
3,2019-07-01,195.47,196.99,193.375,196.59,196.59,1421118.0,0.0,CME
4,2019-06-28,194.74,194.99,193.05,194.11,194.11,2138854.0,0.0,CME
5,2019-06-27,192.64,195.39,192.53,193.9,193.9,1252045.0,0.0,CME
6,2019-06-26,198.37,198.37,191.96,192.03,192.03,1488037.0,0.0,CME
7,2019-06-25,198.91,199.11,197.36,198.32,198.32,1174236.0,0.0,CME
8,2019-06-24,197.99,199.155,197.48,198.42,198.42,1201041.0,0.0,CME
9,2019-06-21,197.87,200.94,197.22,197.46,197.46,2699926.0,0.0,CME
10,2019-06-20,198.83,199.98,196.5493,198.82,198.82,1163800.0,0.0,CME
11,2019-06-19,195.81,197.73,195.3,197.32,197.32,1071278.0,0.0,CME
12,2019-06-18,194.96,196.84,194.79,195.82,195.82,1364724.0,0.0,CME
13,2019-06-17,197.07,198.09,194.41,194.77,194.77,1174742.0,0.0,CME
14,2019-06-14,197.35,197.81,195.66,197.1,197.1,1147580.0,0.0,CME
15,2019-06-13,198.77,198.8759,194.5,196.74,196.74,1608986.0,0.0,CME
16,2019-06-12,198.44,200.27,197.81,198.88,198.88,1161888.0,0.0,CME
17,2019-06-11,203.58,204.3,197.5,198.75,198.75,2506050.0,0.0,CME
18,2019-06-10,203.26,204.56,202.69,203.18,203.18,1294727.0,0.0,CME
19,2019-06-07,199.71,202.98,199.71,202.11,202.11,1104499.0,0.75,CME
20,2019-06-06,199.94,201.425,197.04,200.89,200.1473,1296328.0,0.0,CME
21,2019-06-05,195.11,200.0,195.02,199.88,199.141,1630272.0,0.0,CME
22,2019-06-04,194.39,195.68,192.5,194.96,194.2392,1344815.0,0.0,CME
23,2019-06-03,192.45,193.22,190.97,193.0,192.2865,1745793.0,0.0,CME
24,2019-05-31,190.06,192.71,190.06,192.12,191.4097,1782470.0,0.0,CME
25,2019-05-30,190.69,193.27,190.47,192.36,191.6488,1183769.0,0.0,CME
26,2019-05-29,187.32,190.78,187.32,190.52,189.8156,2017976.0,0.0,CME
27,2019-05-28,187.46,190.94,186.98,187.26,186.5677,2557748.0,0.0,CME
28,2019-05-24,187.67,188.26,185.55,187.92,187.2252,800670.0,0.0,CME
29,2019-05-23,185.0,187.49,184.92,186.8,186.1094,1189680.0,0.0,CME
30,2019-05-22,186.23,187.1338,185.04,185.82,185.133,773658.0,0.0,CME
31,2019-05-21,186.38,187.785,185.88,186.57,185.8802,1121370.0,0.0,CME
32,2019-05-20,183.93,186.19,183.88,185.64,184.9537,1250464.0,0.0,CME
33,2019-05-17,182.19,184.7399,182.19,183.85,183.1703,1223734.0,0.0,CME
34,2019-05-16,182.64,183.66,181.525,182.79,182.1142,1061214.0,0.0,CME
35,2019-05-15,181.9,183.71,181.26,181.83,181.1578,995571.0,0.0,CME
36,2019-05-14,182.48,184.87,182.11,183.29,182.6124,1621872.0,0.0,CME
37,2019-05-13,181.0,183.63,180.8,182.3,181.626,1720525.0,0.0,CME
38,2019-05-10,179.9,183.03,179.385,182.94,182.2636,1532966.0,0.0,CME
39,2019-05-09,176.78,181.125,176.53,180.01,179.3445,1563563.0,0.0,CME
40,2019-05-08,178.47,179.81,177.18,178.22,177.5611,1549279.0,0.0,CME
41,2019-05-07,177.1,180.96,177.1,178.11,177.4515,2517842.0,0.0,CME
42,2019-05-06,171.01,178.45,171.01,178.15,177.4914,1617861.0,0.0,CME
43,2019-05-03,172.97,174.3,172.31,173.91,173.267,1872698.0,0.0,CME
