,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-07-05,44.49,44.815,44.07,44.21,44.21,6274874.0,0.0,MS
1,2019-07-03,43.95,44.145,43.82,43.99,43.99,4470788.0,0.0,MS
2,2019-07-02,43.7,43.925,43.4,43.83,43.83,8234802.0,0.0,MS
3,2019-07-01,44.59,45.055,43.52,43.95,43.95,12225118.0,0.0,MS
4,2019-06-28,44.2,44.565,43.74,43.81,43.81,15445649.0,0.0,MS
5,2019-06-27,43.3,43.65,43.08,43.49,43.49,7459832.0,0.0,MS
6,2019-06-26,42.78,43.29,42.75,42.99,42.99,7826369.0,0.0,MS
7,2019-06-25,42.97,42.9999,42.24,42.66,42.66,10232874.0,0.0,MS
8,2019-06-24,43.5,43.9,42.99,43.07,43.07,8141400.0,0.0,MS
9,2019-06-21,43.58,44.165,43.44,43.58,43.58,18451155.0,0.0,MS
10,2019-06-20,43.6,43.95,42.99,43.46,43.46,9922837.0,0.0,MS
11,2019-06-19,43.7,43.91,43.11,43.14,43.14,8034252.0,0.0,MS
12,2019-06-18,42.57,43.81,42.44,43.34,43.34,10094493.0,0.0,MS
13,2019-06-17,42.73,43.08,42.44,42.51,42.51,5658706.0,0.0,MS
14,2019-06-14,43.19,43.22,42.51,42.82,42.82,7102628.0,0.0,MS
15,2019-06-13,42.68,43.22,42.54,42.95,42.95,7530917.0,0.0,MS
16,2019-06-12,43.44,43.44,42.54,42.62,42.62,8073786.0,0.0,MS
17,2019-06-11,43.77,44.18,43.41,43.67,43.67,10654592.0,0.0,MS
18,2019-06-10,43.24,43.84,43.2,43.29,43.29,8693295.0,0.0,MS
19,2019-06-07,42.67,43.07,42.5823,42.7,42.7,7546203.0,0.0,MS
20,2019-06-06,42.25,42.985,42.15,42.81,42.81,5741545.0,0.0,MS
21,2019-06-05,42.5,42.67,41.945,42.43,42.43,6421315.0,0.0,MS
22,2019-06-04,41.43,42.57,41.38,42.48,42.48,11860935.0,0.0,MS
23,2019-06-03,40.71,41.0938,40.4315,40.73,40.73,10133244.0,0.0,MS
24,2019-05-31,41.11,41.28,40.6,40.69,40.69,11328629.0,0.0,MS
25,2019-05-30,42.46,42.625,41.525,41.83,41.83,7797240.0,0.0,MS
26,2019-05-29,41.74,42.24,41.565,42.19,42.19,9808742.0,0.0,MS
