,dates,open,high,low,close,adjusted close,volume,dividend amount,tickers
0,2019-07-05,116.54,117.4,114.69,117.16,117.16,3801032.0,0.0,PYPL
1,2019-07-03,116.88,117.72,116.06,117.68,117.68,3288929.0,0.0,PYPL
2,2019-07-02,115.18,116.2,114.58,116.17,116.17,4155388.0,0.0,PYPL
3,2019-07-01,116.72,116.75,114.35,115.03,115.03,5709683.0,0.0,PYPL
4,2019-06-28,114.24,114.62,113.33,114.46,114.46,6679793.0,0.0,PYPL
5,2019-06-27,114.51,114.87,113.08,113.67,113.67,5139346.0,0.0,PYPL
6,2019-06-26,115.7,116.38,114.115,114.15,114.15,4637342.0,0.0,PYPL
7,2019-06-25,116.58,116.96,113.39,114.44,114.44,5395305.0,0.0,PYPL
8,2019-06-24,116.51,116.7731,115.66,116.5,116.5,3369867.0,0.0,PYPL
9,2019-06-21,116.08,117.28,115.97,116.21,116.21,10651525.0,0.0,PYPL
10,2019-06-20,118.85,119.95,117.84,118.79,118.79,5437516.0,0.0,PYPL
11,2019-06-19,116.0,117.34,115.22,117.14,117.14,5165966.0,0.0,PYPL
12,2019-06-18,118.6,118.646,115.84,115.98,115.98,6793322.0,0.0,PYPL
13,2019-06-17,116.58,117.335,116.37,117.16,117.16,4621594.0,0.0,PYPL
14,2019-06-14,115.91,116.73,115.27,116.17,116.17,4241994.0,0.0,PYPL
15,2019-06-13,114.82,115.82,114.59,115.72,115.72,4089424.0,0.0,PYPL
16,2019-06-12,114.59,114.89,113.4702,114.5,114.5,3914615.0,0.0,PYPL
17,2019-06-11,116.97,117.45,113.295,114.6,114.6,5038942.0,0.0,PYPL
18,2019-06-10,115.1,117.35,114.85,115.62,115.62,6483553.0,0.0,PYPL
19,2019-06-07,112.3,115.14,112.08,114.02,114.02,5916410.0,0.0,PYPL
20,2019-06-06,111.11,112.04,110.27,111.78,111.78,4743958.0,0.0,PYPL
21,2019-06-05,110.04,110.88,109.46,110.77,110.77,6220170.0,0.0,PYPL
22,2019-06-04,106.83,108.83,105.78,108.73,108.73,7280429.0,0.0,PYPL
23,2019-06-03,111.09,111.09,103.96,105.52,105.52,11261210.0,0.0,PYPL
24,2019-05-31,110.33,110.8,108.74,109.75,109.75,4913455.0,0.0,PYPL
25,2019-05-30,110.64,111.57,110.09,111.41,111.41,3871752.0,0.0,PYPL
26,2019-05-29,110.75,110.97,109.31,110.08,110.08,8166166.0,0.0,PYPL
27,2019-05-28,110.57,113.14,110.5,111.74,111.74,6568269.0,0.0,PYPL
28,2019-05-24,110.84,111.24,109.46,109.85,109.85,4832620.0,0.0,PYPL
29,2019-05-23,111.47,111.71,109.06,109.9,109.9,7183631.0,0.0,PYPL
30,2019-05-22,112.28,113.96,112.21,112.47,112.47,3092002.0,0.0,PYPL
31,2019-05-21,112.67,113.12,111.6855,112.43,112.43,4001417.0,0.0,PYPL
32,2019-05-20,111.97,113.31,111.23,112.15,112.15,3631596.0,0.0,PYPL
33,2019-05-17,113.07,114.25,112.2421,112.8,112.8,4512583.0,0.0,PYPL
34,2019-05-16,111.2,114.66,111.16,113.87,113.87,6031779.0,0.0,PYPL
35,2019-05-15,108.59,111.93,108.31,111.5,111.5,5315281.0,0.0,PYPL
36,2019-05-14,107.56,110.4,107.35,109.09,109.09,4559662.0,0.0,PYPL
37,2019-05-13,107.6,108.63,106.52,106.83,106.83,5657900.0,0.0,PYPL
38,2019-05-10,109.22,110.68,107.46,110.41,110.41,3750890.0,0.0,PYPL
39,2019-05-09,108.1,110.1325,107.2476,109.73,109.73,4657418.0,0.0,PYPL
40,2019-05-08,108.58,109.88,108.15,109.07,109.07,4118033.0,0.0,PYPL
41,2019-05-07,110.17,110.17,107.64,108.95,108.95,6178708.0,0.0,PYPL
