,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,74.22183911982542,74.48631579128612,80.79340957590739,74.22183911982542,74.22183911982542,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.345678347726907,3.345678347726907,3.345678347726907,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,-0.002707400393653011,-0.002707400393653011,-0.002707400393653011,1.5930890776850424,1.5930890776850424,1.5930890776850424,0.0,0.0,0.0,77.56751746755232
1,2014-07-15,74.18065525449262,74.08857547485393,80.72264663895476,74.18065525449262,74.18065525449262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4921997688352273,3.4921997688352273,3.4921997688352273,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.13430348867256717,0.13430348867256717,0.13430348867256717,1.6025996097271422,1.6025996097271422,1.6025996097271422,0.0,0.0,0.0,77.67285502332784
2,2014-07-16,74.13947138915982,74.53396308969933,81.1586626284668,74.13947138915982,74.13947138915982,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.524106428384173,3.524106428384173,3.524106428384173,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.16269438328740732,0.16269438328740732,0.16269438328740732,1.6061153746612482,1.6061153746612482,1.6061153746612482,0.0,0.0,0.0,77.663577817544
3,2014-07-17,74.09828752382701,74.44401536495765,81.10448699842293,74.09828752382701,74.09828752382701,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.4306381983350542,3.4306381983350542,3.4306381983350542,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.07201241051443517,0.07201241051443517,0.07201241051443517,1.6033291173851014,1.6033291173851014,1.6033291173851014,0.0,0.0,0.0,77.52892572216207
4,2014-07-18,74.05710365849421,74.25716947642786,80.7889737777468,74.05710365849421,74.05710365849421,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.421811783957718,3.421811783957718,3.421811783957718,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.07252139238324042,0.07252139238324042,0.07252139238324042,1.5939937211389597,1.5939937211389597,1.5939937211389597,0.0,0.0,0.0,77.47891544245194
5,2014-07-21,73.93355206249582,73.92252383975301,80.40097898949875,73.93355206249582,73.93355206249582,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.277915820397055,3.277915820397055,3.277915820397055,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,-0.0027074003936968503,-0.0027074003936968503,-0.0027074003936968503,1.5253265503552345,1.5253265503552345,1.5253265503552345,0.0,0.0,0.0,77.21146788289288
6,2014-07-22,73.89236819716301,74.0262690953386,80.57218630731452,73.89236819716301,73.89236819716301,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3784578754807453,3.3784578754807453,3.3784578754807453,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.13430348867253528,0.13430348867253528,0.13430348867253528,1.4888577163726915,1.4888577163726915,1.4888577163726915,0.0,0.0,0.0,77.27082607264376
7,2014-07-23,73.85118433183021,73.95942371910508,80.60402908353227,73.85118433183021,73.85118433183021,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.3638169862792906,3.3638169862792906,3.3638169862792906,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.16269438328758581,0.16269438328758581,0.16269438328758581,1.4458259325561866,1.4458259325561866,1.4458259325561866,0.0,0.0,0.0,77.2150013181095
8,2014-07-24,73.81000046649741,73.70582283793686,80.53970772906143,73.81000046649741,73.81000046649741,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.223831597139475,3.223831597139475,3.223831597139475,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.07201241051441537,0.07201241051441537,0.07201241051441537,1.396522516189542,1.396522516189542,1.396522516189542,0.0,0.0,0.0,77.0338320636369
9,2014-07-25,73.76881660116462,73.51879873036417,80.33585597909591,73.76881660116462,73.76881660116462,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.1691644035783235,3.1691644035783235,3.1691644035783235,1.7552966704355175,1.7552966704355175,1.7552966704355175,0.0,0.0,0.0,0.07252139238317382,0.07252139238317382,0.07252139238317382,1.3413463407596322,1.3413463407596322,1.3413463407596322,0.0,0.0,0.0,76.93798100474294
