,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,67.39684767909283,66.33669398566904,70.9889573071114,67.39684767909283,67.39684767909283,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3911541625904316,1.3911541625904316,1.3911541625904316,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,-0.022323843048671136,-0.022323843048671136,-0.022323843048671136,0.5994062002241229,0.5994062002241229,0.5994062002241229,0.0,0.0,0.0,68.78800184168325
1,2014-07-15,67.32746939763842,66.33498072685,70.97555760920866,67.32746939763842,67.32746939763842,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4530289912576988,1.4530289912576988,1.4530289912576988,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.03404355701759634,0.03404355701759634,0.03404355701759634,0.6049136288251227,0.6049136288251227,0.6049136288251227,0.0,0.0,0.0,68.78049838889612
2,2014-07-16,67.25809111618403,66.45839927907377,71.07828038252975,67.25809111618403,67.25809111618403,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5203355453681597,1.5203355453681597,1.5203355453681597,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.09434050306808474,0.09434050306808474,0.09434050306808474,0.6119232368850952,0.6119232368850952,0.6119232368850952,0.0,0.0,0.0,68.77842666155219
3,2014-07-17,67.18871283472963,66.35333915549624,70.98240024861974,67.18871283472963,67.18871283472963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4921398666774774,1.4921398666774774,1.4921398666774774,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.057955929732309605,0.057955929732309605,0.057955929732309605,0.6201121315301882,0.6201121315301882,0.6201121315301882,0.0,0.0,0.0,68.6808527014071
4,2014-07-18,67.11933455327522,66.21269827967329,70.92782170610309,67.11933455327522,67.11933455327522,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4827157943881693,1.4827157943881693,1.4827157943881693,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.039501852317653345,0.039501852317653345,0.039501852317653345,0.6291421366555362,0.6291421366555362,0.6291421366555362,0.0,0.0,0.0,68.6020503476634
5,2014-07-21,66.91119970891204,65.90458903717479,70.79547955739862,66.91119970891204,66.91119970891204,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.4495111046349407,1.4495111046349407,1.4495111046349407,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,-0.022323843048723778,-0.022323843048723778,-0.022323843048723778,0.6577631422686848,0.6577631422686848,0.6577631422686848,0.0,0.0,0.0,68.36071081354697
6,2014-07-22,66.84182142745763,65.97231824701817,70.65195160810563,66.84182142745763,66.84182142745763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.514744922540376,1.514744922540376,1.514744922540376,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.03404355701759958,0.03404355701759958,0.03404355701759958,0.6666295601077966,0.6666295601077966,0.6666295601077966,0.0,0.0,0.0,68.356566349998
7,2014-07-23,66.77244314600323,66.01163799414692,70.61870103661735,66.77244314600323,66.77244314600323,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.582989427242194,1.582989427242194,1.582989427242194,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.0943405030680415,0.0943405030680415,0.0943405030680415,0.6745771187591728,0.6745771187591728,0.6745771187591728,0.0,0.0,0.0,68.35543257324542
8,2014-07-24,66.70306486454882,66.05821737441802,70.5824652366767,66.70306486454882,66.70306486454882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5533005335185752,1.5533005335185752,1.5533005335185752,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.05795592973229318,0.05795592973229318,0.05795592973229318,0.6812727983713022,0.6812727983713022,0.6812727983713022,0.0,0.0,0.0,68.2563653980674
9,2014-07-25,66.63368658309442,65.77954247363552,70.42002330968624,66.63368658309442,66.63368658309442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5399747098880998,1.5399747098880998,1.5399747098880998,0.8140718054149797,0.8140718054149797,0.8140718054149797,0.0,0.0,0.0,0.03950185231762571,0.03950185231762571,0.03950185231762571,0.6864010521554943,0.6864010521554943,0.6864010521554943,0.0,0.0,0.0,68.17366129298252
