,Date,Symbols,High,Low,Open,Close,Volume,Adj Close,Company_name
0,2014-07-14,brk-a,193860,193030,193503,193380,200,193380,Berkshire Hathaway Inc.
1,2014-07-15,brk-a,193750,192000,193480,192776,200,192776,Berkshire Hathaway Inc.
2,2014-07-16,brk-a,193145,191849,193145,192072,100,192072,Berkshire Hathaway Inc.
3,2014-07-17,brk-a,192101,189696,191920,189811,200,189811,Berkshire Hathaway Inc.
4,2014-07-18,brk-a,192631,190555,190860,192487,200,192487,Berkshire Hathaway Inc.
5,2014-07-21,brk-a,193058,191554,191860,193030,100,193030,Berkshire Hathaway Inc.
6,2014-07-22,brk-a,193450,192339,193296,192640,200,192640,Berkshire Hathaway Inc.
7,2014-07-23,brk-a,192827,192140,192577,192205,100,192205,Berkshire Hathaway Inc.
8,2014-07-24,brk-a,192985,192107,192200,192441,100,192441,Berkshire Hathaway Inc.
9,2014-07-25,brk-a,192436,191190,192436,191224,200,191224,Berkshire Hathaway Inc.
10,2014-07-28,brk-a,192682,190000,191120,192580,200,192580,Berkshire Hathaway Inc.
11,2014-07-29,brk-a,192948,191083,192310,191158,200,191158,Berkshire Hathaway Inc.
12,2014-07-30,brk-a,192549,190483,191200,191716,200,191716,Berkshire Hathaway Inc.
13,2014-07-31,brk-a,191553,188124,190807,188124,400,188124,Berkshire Hathaway Inc.
14,2014-08-01,brk-a,190368,185005,187152,189279,400,189279,Berkshire Hathaway Inc.
15,2014-08-04,brk-a,195005,190942,192126,194305,800,194305,Berkshire Hathaway Inc.
16,2014-08-05,brk-a,194500,191358,194500,192499,700,192499,Berkshire Hathaway Inc.
17,2014-08-06,brk-a,194460,191890,192189,193700,200,193700,Berkshire Hathaway Inc.
18,2014-08-07,brk-a,194800,193079,194670,194001,600,194001,Berkshire Hathaway Inc.
19,2014-08-08,brk-a,196391,193570,193850,196253,400,196253,Berkshire Hathaway Inc.
20,2014-08-11,brk-a,199072,196500,197699,198000,200,198000,Berkshire Hathaway Inc.
21,2014-08-12,brk-a,199799,197895,197895,199562,200,199562,Berkshire Hathaway Inc.
22,2014-08-13,brk-a,199999,198800,199960,199609,400,199609,Berkshire Hathaway Inc.
23,2014-08-14,brk-a,203081,199600,199600,202850,600,202850,Berkshire Hathaway Inc.
24,2014-08-15,brk-a,203355,199721,203350,201227,300,201227,Berkshire Hathaway Inc.
25,2014-08-18,brk-a,203000,202100,202400,202419,300,202419,Berkshire Hathaway Inc.
26,2014-08-19,brk-a,202986,201941,202805,202600,300,202600,Berkshire Hathaway Inc.
27,2014-08-20,brk-a,202600,201891,202364,202388,400,202388,Berkshire Hathaway Inc.
28,2014-08-21,brk-a,205169,202679,202799,205159,400,205159,Berkshire Hathaway Inc.
29,2014-08-22,brk-a,204800,203455,204600,203532,300,203532,Berkshire Hathaway Inc.
30,2014-08-25,brk-a,204999,204233,204600,204579,300,204579,Berkshire Hathaway Inc.
31,2014-08-26,brk-a,205097,204358,204880,204577,200,204577,Berkshire Hathaway Inc.
32,2014-08-27,brk-a,205445,204000,204577,204741,400,204741,Berkshire Hathaway Inc.
33,2014-08-28,brk-a,204640,203895,204300,204040,200,204040,Berkshire Hathaway Inc.
34,2014-08-29,brk-a,205880,204050,204050,205880,400,205880,Berkshire Hathaway Inc.
35,2014-09-02,brk-a,207200,205630,206999,206740,400,206740,Berkshire Hathaway Inc.
36,2014-09-03,brk-a,207740,206249,207740,206438,300,206438,Berkshire Hathaway Inc.
37,2014-09-04,brk-a,208474,206250,207250,206820,200,206820,Berkshire Hathaway Inc.
38,2014-09-05,brk-a,207490,206110,206562,206700,200,206700,Berkshire Hathaway Inc.
39,2014-09-08,brk-a,208341,207126,207425,207200,200,207200,Berkshire Hathaway Inc.
40,2014-09-09,brk-a,207500,205192,207499,205305,300,205305,Berkshire Hathaway Inc.
41,2014-09-10,brk-a,206905,205600,206250,206750,200,206750,Berkshire Hathaway Inc.
42,2014-09-11,brk-a,206930,205551,206005,206850,100,206850,Berkshire Hathaway Inc.
43,2014-09-12,brk-a,207099,205202,207099,205635,200,205635,Berkshire Hathaway Inc.
44,2014-09-15,brk-a,207156,205602,205851,207110,300,207110,Berkshire Hathaway Inc.
45,2014-09-16,brk-a,208415,206525,206900,207745,200,207745,Berkshire Hathaway Inc.
46,2014-09-17,brk-a,210217,208105,208612,209000,300,209000,Berkshire Hathaway Inc.
47,2014-09-18,brk-a,212250,209734,210449,212075,400,212075,Berkshire Hathaway Inc.
48,2014-09-19,brk-a,213612,210845,213200,212000,700,212000,Berkshire Hathaway Inc.
49,2014-09-22,brk-a,211079,208802,211079,208900,300,208900,Berkshire Hathaway Inc.
50,2014-09-23,brk-a,209600,208183,208860,208445,300,208445,Berkshire Hathaway Inc.
