,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,192177.60061970502,179694.6710883649,196714.3615592838,192177.60061970502,192177.60061970502,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3876.96542523251,-3876.96542523251,-3876.96542523251,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,-225.36791204556937,-225.36791204556937,-225.36791204556937,-2580.353063948505,-2580.353063948505,-2580.353063948505,0.0,0.0,0.0,188300.6351944725
1,2014-07-15,192359.88555525642,180530.83242756347,197591.7376357721,192359.88555525642,192359.88555525642,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3403.947573475766,-3403.947573475766,-3403.947573475766,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,30.895861669209395,30.895861669209395,30.895861669209395,-2363.5989859065394,-2363.5989859065394,-2363.5989859065394,0.0,0.0,0.0,188955.93798178065
2,2014-07-16,192542.17049080782,180892.21849167408,198248.64979509695,192542.17049080782,192542.17049080782,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3101.7589368700724,-3101.7589368700724,-3101.7589368700724,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,112.71918752944825,112.71918752944825,112.71918752944825,-2143.233675161085,-2143.233675161085,-2143.233675161085,0.0,0.0,0.0,189440.41155393774
3,2014-07-17,192724.4554263593,180699.18564614843,198551.17188694444,192724.4554263593,192724.4554263593,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3004.358122628433,-3004.358122628433,-3004.358122628433,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,-13.481069693931211,-13.481069693931211,-13.481069693931211,-1919.6326036960668,-1919.6326036960668,-1919.6326036960668,0.0,0.0,0.0,189720.09730373084
4,2014-07-18,192906.7403619107,181088.01209378953,198924.66307161114,192906.7403619107,192906.7403619107,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2936.9267918482706,-2936.9267918482706,-2936.9267918482706,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-172.57697277676903,-172.57697277676903,-172.57697277676903,-1693.1053698330659,-1693.1053698330659,-1693.1053698330659,0.0,0.0,0.0,189969.81357006243
5,2014-07-21,193453.5951685649,182615.8950504806,200179.34396742674,193453.5951685649,193453.5951685649,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-2294.7227158852775,-2294.7227158852775,-2294.7227158852775,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-225.367912045453,-225.367912045453,-225.367912045453,-998.1103546013893,-998.1103546013893,-998.1103546013893,0.0,0.0,0.0,191158.8724526796
6,2014-07-22,193635.8801041163,183049.33264689497,201012.15468769704,193635.8801041163,193635.8801041163,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1802.0978244521311,-1802.0978244521311,-1802.0978244521311,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,30.89586166946354,30.89586166946354,30.89586166946354,-761.7492368831591,-761.7492368831591,-761.7492368831591,0.0,0.0,0.0,191833.78227966418
7,2014-07-23,193818.16503966777,183438.68927751709,200453.46295248574,193818.16503966777,193818.16503966777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1481.6870599050503,-1481.6870599050503,-1481.6870599050503,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,112.71918752957521,112.71918752957521,112.71918752957521,-523.1617981961903,-523.1617981961903,-523.1617981961903,0.0,0.0,0.0,192336.4779797627
8,2014-07-24,194000.44997521918,183688.52049905199,201244.5801607559,194000.44997521918,194000.44997521918,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1367.1173445253487,-1367.1173445253487,-1367.1173445253487,-1071.2444492384357,-1071.2444492384357,-1071.2444492384357,0.0,0.0,0.0,-13.481069694221887,-13.481069694221887,-13.481069694221887,-282.3918255926914,-282.3918255926914,-282.3918255926914,0.0,0.0,0.0,192633.33263069383
9,2014-07-25,194182.73491077058,183608.51621683594,201178.24208601972,194182.73491077058,194182.73491077058,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1283.3091999858736,-1283.3091999858736,-1283.3091999858736,-1071.2444492384354,-1071.2444492384354,-1071.2444492384354,0.0,0.0,0.0,-172.57697277696298,-172.57697277696298,-172.57697277696298,-39.48777797047527,-39.48777797047527,-39.48777797047527,0.0,0.0,0.0,192899.4257107847
