,ds,trend,trend_lower,trend_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,yhat,yhat_lower,yhat_upper
0,2014-07-14,192177.60061970502,192177.60061970502,192177.60061970502,-225.36791204556937,-225.36791204556937,-225.36791204556937,-2580.353063948505,-2580.353063948505,-2580.353063948505,188300.6351944725,179694.6710883649,196714.3615592838
1,2014-07-15,192359.88555525642,192359.88555525642,192359.88555525642,30.895861669209395,30.895861669209395,30.895861669209395,-2363.5989859065394,-2363.5989859065394,-2363.5989859065394,188955.93798178065,180530.83242756347,197591.7376357721
2,2014-07-16,192542.17049080782,192542.17049080782,192542.17049080782,112.71918752944825,112.71918752944825,112.71918752944825,-2143.233675161085,-2143.233675161085,-2143.233675161085,189440.41155393774,180892.21849167408,198248.64979509695
3,2014-07-17,192724.4554263593,192724.4554263593,192724.4554263593,-13.481069693931211,-13.481069693931211,-13.481069693931211,-1919.6326036960668,-1919.6326036960668,-1919.6326036960668,189720.09730373084,180699.18564614843,198551.17188694444
4,2014-07-18,192906.7403619107,192906.7403619107,192906.7403619107,-172.57697277676903,-172.57697277676903,-172.57697277676903,-1693.1053698330659,-1693.1053698330659,-1693.1053698330659,189969.81357006243,181088.01209378953,198924.66307161114
5,2014-07-21,193453.5951685649,193453.5951685649,193453.5951685649,-225.367912045453,-225.367912045453,-225.367912045453,-998.1103546013893,-998.1103546013893,-998.1103546013893,191158.8724526796,182615.8950504806,200179.34396742674
6,2014-07-22,193635.8801041163,193635.8801041163,193635.8801041163,30.89586166946354,30.89586166946354,30.89586166946354,-761.7492368831591,-761.7492368831591,-761.7492368831591,191833.78227966418,183049.33264689497,201012.15468769704
7,2014-07-23,193818.16503966777,193818.16503966777,193818.16503966777,112.71918752957521,112.71918752957521,112.71918752957521,-523.1617981961903,-523.1617981961903,-523.1617981961903,192336.4779797627,183438.68927751709,200453.46295248574
8,2014-07-24,194000.44997521918,194000.44997521918,194000.44997521918,-13.481069694221887,-13.481069694221887,-13.481069694221887,-282.3918255926914,-282.3918255926914,-282.3918255926914,192633.33263069383,183688.52049905199,201244.5801607559
9,2014-07-25,194182.73491077058,194182.73491077058,194182.73491077058,-172.57697277696298,-172.57697277696298,-172.57697277696298,-39.48777797047527,-39.48777797047527,-39.48777797047527,192899.4257107847,183608.51621683594,201178.24208601972
10,2014-07-28,194729.58971742482,194729.58971742482,194729.58971742482,-225.3679120453597,-225.3679120453597,-225.3679120453597,701.0692529981909,701.0692529981909,701.0692529981909,194134.04660913922,185638.46257189728,202284.00470827316
11,2014-07-29,194911.87465297623,194911.87465297623,194911.87465297623,30.895861669065923,30.895861669065923,30.895861669065923,951.2557194175035,951.2557194175035,951.2557194175035,194822.78178482436,186648.10266588855,203552.06521799992
