,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-09-24,23.037049581784313,21.785794358945406,25.800136439838358,23.037049581784313,23.037049581784313,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6750382036086421,0.6750382036086421,0.6750382036086421,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.08649609324592068,0.08649609324592068,0.08649609324592068,-0.4205944048055687,-0.4205944048055687,-0.4205944048055687,0.0,0.0,0.0,23.712087785392956
1,2014-09-25,23.043373241911013,21.67404673874916,25.727385089899947,23.043373241911013,23.043373241911013,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5715802021376144,0.5715802021376144,0.5715802021376144,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.02653688990537792,0.02653688990537792,0.02653688990537792,-0.4640932029360535,-0.4640932029360535,-0.4640932029360535,0.0,0.0,0.0,23.614953444048627
2,2014-09-26,23.049696902037713,21.450335069782465,25.54356864919288,23.049696902037713,23.049696902037713,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5337305639216706,0.5337305639216706,0.5337305639216706,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.03664699166180348,0.03664699166180348,0.03664699166180348,-0.512052942908423,-0.512052942908423,-0.512052942908423,0.0,0.0,0.0,23.583427465959385
3,2014-09-29,23.068667882417813,21.388547354444473,25.415122752136,23.068667882417813,23.068667882417813,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.33859302657053664,0.33859302657053664,0.33859302657053664,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.010419238468791397,0.010419238468791397,0.010419238468791397,-0.6809627270665447,-0.6809627270665447,-0.6809627270665447,0.0,0.0,0.0,23.40726090898835
4,2014-09-30,23.074991542544513,21.382433367085053,25.369791412018905,23.074991542544513,23.074991542544513,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.35675691401816295,0.35675691401816295,0.35675691401816295,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.0921849857768882,0.0921849857768882,0.0921849857768882,-0.7445645869270153,-0.7445645869270153,-0.7445645869270153,0.0,0.0,0.0,23.431748456562676
5,2014-10-01,23.081315202671213,21.285081266716833,25.363851708368028,23.081315202671213,23.081315202671213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.28456824433727546,0.28456824433727546,0.28456824433727546,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.08649609324590044,0.08649609324590044,0.08649609324590044,-0.8110643640769151,-0.8110643640769151,-0.8110643640769151,0.0,0.0,0.0,23.36588344700849
6,2014-10-02,23.087638862797913,21.228357323770926,25.110746231839,23.087638862797913,23.087638862797913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1557906973188598,0.1557906973188598,0.1557906973188598,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.02653688990537214,0.02653688990537214,0.02653688990537214,-0.8798827077548024,-0.8798827077548024,-0.8798827077548024,0.0,0.0,0.0,23.243429560116773
7,2014-10-03,23.093962522924613,21.249917463760664,25.223160144296678,23.093962522924613,23.093962522924613,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09541893288076334,0.09541893288076334,0.09541893288076334,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.03664699166172831,0.03664699166172831,0.03664699166172831,-0.950364573949255,-0.950364573949255,-0.950364573949255,0.0,0.0,0.0,23.18938145580538
8,2014-10-06,23.112933503304717,21.043638681220525,25.0587874682302,23.112933503304717,23.112933503304717,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.1447703517350278,-0.1447703517350278,-0.1447703517350278,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.010419238468621205,0.010419238468621205,0.010419238468621205,-1.164326105371939,-1.164326105371939,-1.164326105371939,0.0,0.0,0.0,22.96816315156969
9,2014-10-07,23.119257163431417,21.146129038057886,25.034059008859987,23.11925716343142,23.11925716343142,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.13245995307855762,-0.13245995307855762,-0.13245995307855762,1.00913651516829,1.00913651516829,1.00913651516829,0.0,0.0,0.0,0.09218498577699107,0.09218498577699107,0.09218498577699107,-1.2337814540238385,-1.2337814540238385,-1.2337814540238385,0.0,0.0,0.0,22.986797210352858
