,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,70.7775287485329,66.39434537718768,77.220595142456,70.7775287485329,70.7775287485329,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2010264252468503,1.2010264252468503,1.2010264252468503,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,0.06209949108014829,0.06209949108014829,0.06209949108014829,2.0815146336868233,2.0815146336868233,2.0815146336868233,0.0,0.0,0.0,71.97855517377975
1,2014-07-15,70.88246331986409,67.01909767025353,77.05065983291964,70.88246331986409,70.88246331986409,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0869381238920406,1.0869381238920406,1.0869381238920406,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.1871613317108793,-0.1871613317108793,-0.1871613317108793,2.216687155123041,2.216687155123041,2.216687155123041,0.0,0.0,0.0,71.96940144375613
2,2014-07-16,70.98739789119527,67.11188125092936,77.396666774914,70.98739789119527,70.98739789119527,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.277152587958393,1.277152587958393,1.277152587958393,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.1084849231493358,-0.1084849231493358,-0.1084849231493358,2.32822521062785,2.32822521062785,2.32822521062785,0.0,0.0,0.0,72.26455047915367
3,2014-07-17,71.09233246252644,67.40299570596375,77.4853886873551,71.09233246252644,71.09233246252644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.41014201660883,1.41014201660883,1.41014201660883,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.060998725720496604,-0.060998725720496604,-0.060998725720496604,2.413728441849448,2.413728441849448,2.413728441849448,0.0,0.0,0.0,72.50247447913527
4,2014-07-18,71.19726703385763,67.99201120381349,78.43582548040932,71.19726703385763,71.19726703385763,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5876956829532571,1.5876956829532571,1.5876956829532571,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,0.05889860540919491,0.05889860540919491,0.05889860540919491,2.4713847770641832,2.4713847770641832,2.4713847770641832,0.0,0.0,0.0,72.78496271681088
5,2014-07-21,71.51207074785118,67.88092765184788,78.37808372832721,71.51207074785118,71.51207074785118,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.588235879488449,1.588235879488449,1.588235879488449,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,0.06209949107989597,0.06209949107989597,0.06209949107989597,2.468724087928674,2.468724087928674,2.468724087928674,0.0,0.0,0.0,73.10030662733963
6,2014-07-22,71.61700531918237,68.14641578346703,77.9695575297287,71.61700531918237,71.61700531918237,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2799885886990774,1.2799885886990774,1.2799885886990774,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.18716133171096225,-0.18716133171096225,-0.18716133171096225,2.409737619930161,2.409737619930161,2.409737619930161,0.0,0.0,0.0,72.89699390788145
7,2014-07-23,71.72193989051354,67.81634330373808,78.27922497577306,71.72193989051354,71.72193989051354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2724731217533567,1.2724731217533567,1.2724731217533567,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.10848492314965576,-0.10848492314965576,-0.10848492314965576,2.3235457444231336,2.3235457444231336,2.3235457444231336,0.0,0.0,0.0,72.99441301226689
8,2014-07-24,71.82687446184472,68.20084634222724,78.33388975816128,71.82687446184472,71.82687446184472,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2085835756922507,1.2085835756922507,1.2085835756922507,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,-0.060998725720363245,-0.060998725720363245,-0.060998725720363245,2.212170000932735,2.212170000932735,2.212170000932735,0.0,0.0,0.0,73.03545803753697
9,2014-07-25,71.93180903317591,67.77257631547589,78.25973992329683,71.93180903317591,71.93180903317591,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.194486013546971,1.194486013546971,1.194486013546971,-0.9425876995201212,-0.9425876995201212,-0.9425876995201212,0.0,0.0,0.0,0.05889860540946921,0.05889860540946921,0.05889860540946921,2.078175107657623,2.078175107657623,2.078175107657623,0.0,0.0,0.0,73.12629504672287
