,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,16822.22858658325,16061.416923471481,17308.301676004892,16822.22858658325,16822.22858658325,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-144.9267444779119,-144.9267444779119,-144.9267444779119,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-48.65709570803833,-48.65709570803833,-48.65709570803833,467.1640753411438,467.1640753411438,467.1640753411438,0.0,0.0,0.0,16677.30184210534
1,2014-07-15,16832.201146547086,16143.683207130802,17350.744996379253,16832.201146547086,16832.201146547086,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-86.08040311710933,-86.08040311710933,-86.08040311710933,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-15.769578596152378,-15.769578596152378,-15.769578596152378,493.1228995900604,493.1228995900604,493.1228995900604,0.0,0.0,0.0,16746.120743429976
2,2014-07-16,16842.173706510923,16130.597880233236,17403.272240443723,16842.173706510923,16842.173706510923,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-67.24114244976118,-67.24114244976118,-67.24114244976118,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-20.8053148154491,-20.8053148154491,-20.8053148154491,516.9978964767054,516.9978964767054,516.9978964767054,0.0,0.0,0.0,16774.93256406116
3,2014-07-17,16852.14626647476,16131.61005949731,17411.31691252823,16852.14626647476,16852.14626647476,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.445191167580376,-53.445191167580376,-53.445191167580376,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-28.44443306423526,-28.44443306423526,-28.44443306423526,538.4329660076722,538.4329660076722,538.4329660076722,0.0,0.0,0.0,16798.70107530718
4,2014-07-18,16862.118826438596,16260.603000252151,17486.510981375068,16862.118826438596,16862.118826438596,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.49287469903765,-33.49287469903765,-33.49287469903765,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-27.181985819623705,-27.181985819623705,-27.181985819623705,557.1228352316035,557.1228352316035,557.1228352316035,0.0,0.0,0.0,16828.62595173956
5,2014-07-21,16892.036506330103,16225.937987885582,17522.87277077585,16892.036506330103,16892.036506330103,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-17.536676589268094,-17.536676589268094,-17.536676589268094,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-48.65709570803185,-48.65709570803185,-48.65709570803185,594.5541432297812,594.5541432297812,594.5541432297812,0.0,0.0,0.0,16874.499829740835
6,2014-07-22,16902.00906629394,16304.579028962688,17556.84637328474,16902.00906629394,16902.00906629394,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,21.214303623944918,21.214303623944918,21.214303623944918,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-15.769578596116475,-15.769578596116475,-15.769578596116475,600.4176063310788,600.4176063310788,600.4176063310788,0.0,0.0,0.0,16923.223369917883
7,2014-07-23,16911.981626257777,16293.659995074353,17608.138620848444,16911.981626257777,16911.981626257777,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.700793161123233,18.700793161123233,18.700793161123233,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-20.80531481541105,-20.80531481541105,-20.80531481541105,602.9398320875517,602.9398320875517,602.9398320875517,0.0,0.0,0.0,16930.6824194189
8,2014-07-24,16921.954186221614,16290.484813281895,17557.313778800413,16921.954186221614,16921.954186221614,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.319995145535303,10.319995145535303,10.319995145535303,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-28.44443306428393,-28.44443306428393,-28.44443306428393,602.1981523208366,602.1981523208366,602.1981523208366,0.0,0.0,0.0,16932.27418136715
9,2014-07-25,16931.92674618545,16397.592083896016,17549.353473016705,16931.92674618545,16931.92674618545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.715324420531959,7.715324420531959,7.715324420531959,-563.4337241110173,-563.4337241110173,-563.4337241110173,0.0,0.0,0.0,-27.18198581966099,-27.18198581966099,-27.18198581966099,598.3310343512103,598.3310343512103,598.3310343512103,0.0,0.0,0.0,16939.642070605983
