,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,Christmas Day,Christmas Day_lower,Christmas Day_upper,Christmas Day (Observed),Christmas Day (Observed)_lower,Christmas Day (Observed)_upper,Columbus Day,Columbus Day_lower,Columbus Day_upper,Independence Day,Independence Day_lower,Independence Day_upper,Independence Day (Observed),Independence Day (Observed)_lower,Independence Day (Observed)_upper,Labor Day,Labor Day_lower,Labor Day_upper,"Martin Luther King, Jr. Day","Martin Luther King, Jr. Day_lower","Martin Luther King, Jr. Day_upper",Memorial Day,Memorial Day_lower,Memorial Day_upper,New Year's Day,New Year's Day_lower,New Year's Day_upper,New Year's Day (Observed),New Year's Day (Observed)_lower,New Year's Day (Observed)_upper,Thanksgiving,Thanksgiving_lower,Thanksgiving_upper,Veterans Day,Veterans Day_lower,Veterans Day_upper,Veterans Day (Observed),Veterans Day (Observed)_lower,Veterans Day (Observed)_upper,Washington's Birthday,Washington's Birthday_lower,Washington's Birthday_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,holidays,holidays_lower,holidays_upper,weekly,weekly_lower,weekly_upper,yearly,yearly_lower,yearly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2014-07-14,165.4937778674029,164.4067551897781,187.86380853056824,165.4937778674029,165.4937778674029,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.001350582146397,11.001350582146397,11.001350582146397,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,-0.14966956708519882,-0.14966956708519882,-0.14966956708519882,8.37633706128771,8.37633706128771,8.37633706128771,0.0,0.0,0.0,176.4951284495493
1,2014-07-15,165.6424712788186,166.08806525136072,189.25474181002946,165.6424712788186,165.6424712788186,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.917926618755356,11.917926618755356,11.917926618755356,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.32772026429984674,0.32772026429984674,0.32772026429984674,8.815523266511622,8.815523266511622,8.815523266511622,0.0,0.0,0.0,177.56039789757395
2,2014-07-16,165.7911646902343,165.87640637209518,190.02535173839271,165.79116469023427,165.79116469023427,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.353646434669317,12.353646434669317,12.353646434669317,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.3492910973617803,0.3492910973617803,0.3492910973617803,9.229672249363652,9.229672249363652,9.229672249363652,0.0,0.0,0.0,178.1448111249036
3,2014-07-17,165.93985810164997,166.1944122556061,191.53377789400125,165.93985810164997,165.93985810164997,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.566065565491085,12.566065565491085,12.566065565491085,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.17838815946558412,0.17838815946558412,0.17838815946558412,9.612994318081617,9.612994318081617,9.612994318081617,0.0,0.0,0.0,178.50592366714105
4,2014-07-18,166.08855151306568,166.08592967378115,190.8911760638293,166.08855151306568,166.08855151306568,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.722747049044099,12.722747049044099,12.722747049044099,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,-0.012058805238336431,-0.012058805238336431,-0.012058805238336431,9.96012276633855,9.96012276633855,9.96012276633855,0.0,0.0,0.0,178.81129856210978
5,2014-07-21,166.53463174731274,168.09425599762184,191.82183366672072,166.53463174731274,166.53463174731274,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.364368437218907,13.364368437218907,13.364368437218907,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,-0.14966956708498336,-0.14966956708498336,-0.14966956708498336,10.739354916360005,10.739354916360005,10.739354916360005,0.0,0.0,0.0,179.89900018453164
6,2014-07-22,166.68332515872845,168.54397860584487,193.19323265324564,166.68332515872845,166.68332515872845,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.002664860139705,14.002664860139705,14.002664860139705,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.3277202642999807,0.3277202642999807,0.3277202642999807,10.900261507895838,10.900261507895838,10.900261507895838,0.0,0.0,0.0,180.68599001886815
7,2014-07-23,166.83201857014413,169.08806741169974,193.63310990861248,166.83201857014413,166.83201857014413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.132018959206546,14.132018959206546,14.132018959206546,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.3492910973621963,0.3492910973621963,0.3492910973621963,11.008044773900462,11.008044773900462,11.008044773900462,0.0,0.0,0.0,180.96403752935066
8,2014-07-24,166.98071198155984,168.78278377979873,193.7603239182827,166.98071198155986,166.98071198155986,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.014864149662516,14.014864149662516,14.014864149662516,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,0.1783881594653418,0.1783881594653418,0.1783881594653418,11.061792902253288,11.061792902253288,11.061792902253288,0.0,0.0,0.0,180.99557613122235
9,2014-07-25,167.1294053929755,169.81796758441288,192.01470516351063,167.1294053929755,167.1294053929755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.824119941772713,13.824119941772713,13.824119941772713,2.774683087943886,2.774683087943886,2.774683087943886,0.0,0.0,0.0,-0.01205880523875884,-0.01205880523875884,-0.01205880523875884,11.061495659067585,11.061495659067585,11.061495659067585,0.0,0.0,0.0,180.95352533474824
